title,summary,link,pubtime
伪基站杀手,针对当前伪基站日益猖獗，可被用于收集党政军地区敏感信息，发送政治类短信、垃圾短信等，严重影响通信环境，影响用户通信体验的实际问题，中国移动将自主研发伪基站杀手，将传统网络安全攻防对抗的思路应用到无线对抗中，通过技术手段实现对伪基站的反制。部署伪基站杀手，可以使附近区域的伪基站瘫痪，无法收集周围用户敏感信息，并不再对外发送垃圾短信。同时，伪基站杀手有效解决了当前网络侧伪基站监测设备准确率不高、伪基站抓捕困难等问题，能够大大降低伪基站的危害。,http://zzkf.bigcloudsys.cn:8088/project/detail/2109,2015.07.30
物联网远程终端控制方案,,http://zzkf.bigcloudsys.cn:8088/project/detail/2127,2015.07.30
智能浇水,,http://zzkf.bigcloudsys.cn:8088/project/detail/2132,2015.07.30
基于TD-LTE智能终端的远程技术支持及自动运维工具,将安装了本产品手机,http://zzkf.bigcloudsys.cn:8088/project/detail/2554,2015.08.06
一镜一动，一见倾心，打造您的云健康,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2563,2015.08.06
“浮云神码”二维码智能插件应用,通过二维码智能插件的解决方案，以插件形式，为网站、APP客户端等开放二维码功能，同时可为行业客户提供二维码解决方案。,http://zzkf.bigcloudsys.cn:8088/project/detail/2076,2015.07.29
谁的？,互联网时代的轻量级手机APP，通过个人二维码和地理位置的最近区域算法，帮助人们找回丢失的物品。,http://zzkf.bigcloudsys.cn:8088/project/detail/2165,2015.07.31
神笔,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2428,2015.08.03
全民报路况,用户下载,http://zzkf.bigcloudsys.cn:8088/project/detail/2174,2015.07.31
真正永不停机方案,目前用户一般开通CMWAP，CMNET，CMPAY等接入点，建议停机不停CMPAY，实现永不停机提供基础通信和信息服务：,http://zzkf.bigcloudsys.cn:8088/project/detail/2184,2015.07.31
基于视频压缩技术的4G视频监控平台产品,4G,http://zzkf.bigcloudsys.cn:8088/project/detail/2212,2015.07.31
盗机立断拒绝为被盗抢手机提供网络服务,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2270,2015.07.31
宠爱有家, “宠爱有家”是一款利用手机定位、推送等功能为家有宠物需要寄养和喜欢宠物的人士搭建起沟通，寄养的桥梁和社交平台。解决家有宠物的人士由于工作、生活的原因需要暂时寄养宠物，又难于找到具备饲养条件、地理位置相近、价格合理的爱宠人士的问题。另一方面，又满足了爱宠人士照顾宠物、交流的需求。,http://zzkf.bigcloudsys.cn:8088/project/detail/2322,2015.07.31
达答,“,http://zzkf.bigcloudsys.cn:8088/project/detail/2352,2015.07.31
一会,一会: ,http://zzkf.bigcloudsys.cn:8088/project/detail/2112,2015.07.30
中国移动宽带助手,中国移动宽带助手，计划开发成一款中国移动家庭宽带用户电脑终端的应用助手软件，该软件的研发思路主要是基于维护人员日常维护时收集的一些用户投诉、意见及建议。为了能够有效解决用户使用中国移动宽带中遇到的疑难问题，我们计划组织研发该款软件，该软件在为用户安装入户线路时同步安装在用户的电脑终端上。,http://zzkf.bigcloudsys.cn:8088/project/detail/2397,2015.08.03
头手两用式体感遥控器, ,http://zzkf.bigcloudsys.cn:8088/project/detail/2344,2015.07.31
智能终端安全检测工具,智能终端安全检测工具是一款专业的智能终端安全检测软件，它可安装于电脑、,http://zzkf.bigcloudsys.cn:8088/project/detail/2114,2015.07.30
中国移动充值卡创新快充宝,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2380,2015.08.01
音迹,音迹。,http://zzkf.bigcloudsys.cn:8088/project/detail/2578,2015.08.07
客户征信信息查询应用 ,随着国家改革的深入发展，个人以及社会的信用愈发重要。当前国家正在推进个人信用体系建设，各行各业都在着手构建各自的征信标准。在此背景下，我们开发此客户征信查询应用，构建我司客户的专属信用评级体系，并在此体系的基础上与银行通力合作，为其提供客户信用信息参考，助力银行的信贷业务，同时也借此机会完善我司客户的信用体系标准。产品的内容如下：,http://zzkf.bigcloudsys.cn:8088/project/detail/2341,2015.07.31
时空电话,利用移动通信网络，基于地理位置发起电话留言，接收方进入地理位置被呼叫唤起电话接听，充分利用运营商电话优势，无接听门槛，电话场景化使用更为丰富。,http://zzkf.bigcloudsys.cn:8088/project/detail/2364,2015.07.31
移动小秘-基于人工智能的虚拟客户经理APP, 目前苹果siri、微软小冰、Google now、灵犀语音助手都可以与用户进行简单交流。但一个缺点是缺少虚拟人物形象。虚拟的人物形象可以提升用户使用感知，与用户建立情感的依赖。通过人工智能的虚拟人物开展服务将会是移动互联网的下一步的趋势。另一个缺点是目前的语音助手都只是人工智能，当人工智能遇到无法解决的问题时，无法转人工处理。,http://zzkf.bigcloudsys.cn:8088/project/detail/2385,2015.08.03
报警器,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2142,2015.07.31
资金归集信息化产品,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2409,2015.08.03
移动淘金,“,http://zzkf.bigcloudsys.cn:8088/project/detail/2410,2015.08.03
和承诺,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2200,2015.07.31
问答,问答是一款为商户提供问卷调查的平台：,http://zzkf.bigcloudsys.cn:8088/project/detail/2320,2015.07.31
LTE网络感知分析产品,随着,http://zzkf.bigcloudsys.cn:8088/project/detail/2073,2015.07.29
玩玩,我们的目标是：开发一个以有偿技能交换为目的，通过报偿模式，使得具备一定技能的人能够在闲暇时间通过拥有的技能进行二次创收的平台，同时使得想通过闲散时间进行学习的人能够在某种程度上得到兴趣爱好的培养以及相应技能的提升。,http://zzkf.bigcloudsys.cn:8088/project/detail/2354,2015.07.31
人图,人图：以人为点、以动为线、以图为面，三维一体，人图社交：创意生活，改变世界。,http://zzkf.bigcloudsys.cn:8088/project/detail/2133,2015.07.30
520产品,1、520短号，实现通话双方互拨520短号，显示520短号，增加亲密感与拨号便捷度；,http://zzkf.bigcloudsys.cn:8088/project/detail/2395,2015.08.03
和速递,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2170,2015.07.31
生活号码百事通,生活号码百事通项目主要面向个人用户提供社会生活中各类社会服务以及商户的电话号码查询与免费拨打功能，内容主要涉及到相关行业的名称、地址、电话号码为主体的内容，相当本地的工商企业的户口本，实现可免费拨打的手机黄页,http://zzkf.bigcloudsys.cn:8088/project/detail/2197,2015.07.31
感知眼（业务智能镜像拨测）,“,http://zzkf.bigcloudsys.cn:8088/project/detail/2568,2015.08.06
手机考勤,公司日常考勤管理中，可能会有无法管理外勤人员的出勤、考勤机等设备售价太高、员工忘记“刷脸”和统计考勤信息太麻烦等情况。本产品是完全针对公司考勤情况设计的一套手机,http://zzkf.bigcloudsys.cn:8088/project/detail/2125,2015.07.30
千里眼停车,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2143,2015.07.31
“百聚易”多人位置管理类APP产品, 本产品旨在实现团队多人出行的实时位置管理。该产品是基于,http://zzkf.bigcloudsys.cn:8088/project/detail/2124,2015.07.30
社交类虚拟社区,将现有的以GIS为基础的社交类软件与虚拟社区相结合。将现实中真实存在的居民社区在GIS地图中呈现。现实住户注册后依照门牌号进行入住。针对小区、单元楼、单元楼内各户均设立交互留言板，以户为单位实现邻里间的信息沟通。小区物业管理者可提供相关证件的电子版注册为小区管理者，小区管理者可以在小区留言板或单元楼留言板发布信息。APP发展初期以提供邻里间信息交互、小区物业管理消息公布等服务类功能为主，后期可引入周边商户广告投放来实现盈利，商家也可针对不同小区投放不同广告。,http://zzkf.bigcloudsys.cn:8088/project/detail/2129,2015.07.30
赚钱宝APP产品,客户：云南移动客户（使用智能机,http://zzkf.bigcloudsys.cn:8088/project/detail/2407,2015.08.03
服务宝典,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2206,2015.07.31
智能精准快调天支,智能精准快调天支产品包括五部分。,http://zzkf.bigcloudsys.cn:8088/project/detail/2389,2015.08.03
拍票记财,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2163,2015.07.31
亲和密,亲和密APP通过构建亲密圈，帮助父母等年龄较大或者工作忙碌的家人朋友（需授权）监控业务使用情况，代办业务，减少用户不必要的开支，放心大胆的使用，促进业务的发展，减少用户询问和投诉。,http://zzkf.bigcloudsys.cn:8088/project/detail/2439,2015.08.03
阳光厨房, ,http://zzkf.bigcloudsys.cn:8088/project/detail/2440,2015.08.03
办事易,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2204,2015.07.31
业务100,全功能移动营业厅，真正的一站式服务；操作便捷，功能快速切换,http://zzkf.bigcloudsys.cn:8088/project/detail/2225,2015.07.31
户外信号早知道,本产品形式为手机终端应用,http://zzkf.bigcloudsys.cn:8088/project/detail/2513,2015.08.05
流量宝,流量宝是是一款基于智能手持终端的第三方虚拟货币支付平台应用APP。,http://zzkf.bigcloudsys.cn:8088/project/detail/2230,2015.07.31
移动魔镜,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2236,2015.07.31
APP防钓鱼安全SDK产品,APP,http://zzkf.bigcloudsys.cn:8088/project/detail/2118,2015.07.30
针对县城居民的微信平台,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2430,2015.08.03
和流量,官方权威全网产品，精准监控流量使用情况，智能流量提醒，一键流量订购，流量加油，优惠提醒，单价测算，积分换流量，移动业务推荐，流量社区。,http://zzkf.bigcloudsys.cn:8088/project/detail/2498,2015.08.04
偶像闹钟,偶像闹钟：一款专门服务于偶像,http://zzkf.bigcloudsys.cn:8088/project/detail/2527,2015.08.05
数据慧眼,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2157,2015.07.31
摇流量,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2159,2015.07.31
健康产业云服务, “健康产业云服务,http://zzkf.bigcloudsys.cn:8088/project/detail/2450,2015.08.03
和停车,和停车是一款关注有车一族出行停车的产品，由于现在车越来越多，商场的停车场也越来越大， 为了避免客户一圈一圈地找停车位，在商场消费完后还会出现找不到车停在哪的情况，有了和停车，用户在停车时可以收到停车位空闲情况，并通过APP指引直接前往空闲停车位，停车后还可以收到各类商铺的优惠信息，有效优化在商场的客户体验，节省了大量的停车时间。,http://zzkf.bigcloudsys.cn:8088/project/detail/2226,2015.07.31
移动和众寻,移动和众寻是一个基于公益服务性质的应用APP，产品的目标致力于帮助移动巩固现有客户，挖掘潜在客户，在提供公益服务的同时带来出色的品牌收益。安装APP的用户要进行实名认证，在认证通过后，可登入家庭中孩子的信息，当在儿童走失后，可迅速使用寻呼功能，将孩子的信息以彩信的形式发送给用户基站定位的小区所在范围及周围小区范围的其他移动用户，可以使用户在第一时间得到走失孩子的有效信息，,http://zzkf.bigcloudsys.cn:8088/project/detail/2509,2015.08.05
定制通勤巴士应用“任意门”,产品介绍：,http://zzkf.bigcloudsys.cn:8088/project/detail/2282,2015.07.31
好老师,“好老师”是基于公司LBS业务及139社区，面向学生、家长、教师和社会教学力量，展现教学资源和求学需求的融合社区。以PC+MOBILE无缝接入，利用139社区丰富的社交网络资源，优质权威的教学资源，实现互联网解决个性化教育供需关系，促成线下教育的APP软件。,http://zzkf.bigcloudsys.cn:8088/project/detail/2292,2015.07.31
江湖救急,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2285,2015.07.31
和到家,   ,http://zzkf.bigcloudsys.cn:8088/project/detail/2579,2015.08.07
悟空车位,致力于全社会的车位共享。私家车位，企事业单位车位，都能在闲时被充分利用和相互分时租赁。,http://zzkf.bigcloudsys.cn:8088/project/detail/2374,2015.08.01
个人仓库,该产品是一种记录个人有形和无形资产信息的,http://zzkf.bigcloudsys.cn:8088/project/detail/2381,2015.08.01
上学了,,http://zzkf.bigcloudsys.cn:8088/project/detail/2406,2015.08.03
基于短信和电力载波的智能插座系统,实现短信与电力载波结合控制智能插座,http://zzkf.bigcloudsys.cn:8088/project/detail/2177,2015.07.31
《智能开关》产品,智能开关是未来智能家居系统的亮点，照明技术与建筑艺术融合在一起充分体现了家庭温馨舒适的和谐气氛。家庭灯光照明系统的管理，不仅要控制照明光源的发光时间、亮度来配合不同应用场合做出相应的灯光场景，而且还要考虑到管理智能化和操作简单化以及灵活适应以后照明布局和控制方式变更等要求。确保家人是方便与舒适。高档住宅、高档装修对私人空间的灯光照明要求越来越高，不仅需要多点控制、自动顺序控制、事件程序响应控制、分割空间控制等多种方式的自动控制。,http://zzkf.bigcloudsys.cn:8088/project/detail/2194,2015.07.31
“和数据”分析产品,随着大数据技术的爆发，移动已全面开启了大数据运营时代，我们拥有丰富的用户行为数据，访问内容数据，精准的位置信息，利用先进的大数据存储与计算技术、数据挖掘技术、业务识别能力全面支撑内部网络和市场运营以及外部行业企业客户的运营。为了提升自主开发能力，积极响应集团领导“推动全员创新、自主开发能力，促进创新成果转化的新方式，改善客户业务体验，提升现有业务竞争力，促进公司增收增效，培育创新文化，践行创新精神，提高公司对外开放能力”的号召，。,http://zzkf.bigcloudsys.cn:8088/project/detail/2235,2015.07.31
微体验,微体验是将微信平台与中国移动发烧友俱乐部进行融合，借助微信公众账号平台，打造一个从新业务产品上线、俱乐部会员招募、体验任务发布、会员体验反馈和会员任务奖励机制等多种功能一体化的线上移动新业务发烧友俱乐部平台。,http://zzkf.bigcloudsys.cn:8088/project/detail/2295,2015.07.31
和你旅游不一样的入住,激活全国存量住房资源，汇聚大量个人住房资源，用户可用房产证，身份证免费注册，登记，发布个人入住容留信息（包括闲置住房及现住房），支持异地预定、线上撮合交易。解决人们外出旅行时景区周边宾馆少，预定难、价格贵，便宜宾馆环境及卫生条件差的问题。,http://zzkf.bigcloudsys.cn:8088/project/detail/2298,2015.07.31
“移动空间”4S服务站，数字内容发布, 4G时代，随着微信传播及自媒体传播的不断发展，传统的短信营销、彩信营销模式由于受内容量大小局限，承载能力低，发布灵活度低，已不满足现阶段流量经营需要，正渐渐退出历史舞台。随着4G发展速度加快，智能手机大面积普及，ASP+Access技术在手机端以html页面展示灵活多样（含图片、文字等）的应用模式愈来愈多，可以承载更多内容，用户体验更优。,http://zzkf.bigcloudsys.cn:8088/project/detail/2202,2015.07.31
和桌面,和桌面，紧密结合,http://zzkf.bigcloudsys.cn:8088/project/detail/2558,2015.08.06
“近邻” - 社区管理工具与互动平台 APP开发方案, 目前，城市化发展进程加快，借助房地产商的优势让更多城镇居民以楼宇社区为单位安家立业、抱团生活；但作为代表社区的物业管理机构在日常社区维护中出现：管理工具缺乏、沟通不充分而导致的管理手法粗放，无法满意住户日益增大的沟通与个性化服务的需求，邻里关系变得冷漠，疏远，不信任。,http://zzkf.bigcloudsys.cn:8088/project/detail/2346,2015.07.31
便民医疗小助手,便民医疗小助手是一款和医疗相关的APP，功能包括：医院地图、检查结果推送、病历夹、医院挂号、医院就诊流程、家庭医生、讨论区等七个功能。APP主要给患者用户提供医院科室分布指引、医院检查结果的推送和通知、医院就医的流程介绍，为患者就医时提供方便；该APP还为医生提供了病历夹的功能，用于医生记录病历等用途；医院地图功能还为医院工作人员减少导诊工作，检查结果推送也可为医院的无纸化工作的推进，减少医院的材料耗比；APP还为用户提供家庭医生功能，可在家治疗简单的疾病、伤患等；APP提供讨论区，可供患者、医生讨论病情等；APP主页上方有营销轮播图，可设置轮播的广告数，可以推广中国移动自有业务、近期活动，也可以招商，播放各医院的宣传广告。,http://zzkf.bigcloudsys.cn:8088/project/detail/2144,2015.07.31
动动吧--企业活动组织互动平台,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2571,2015.08.06
好老师,“好老师”是基于公司LBS业务及139社区，面向学生、家长、教师和社会教学力量，展现教学资源和求学需求的融合社区。以PC+MOBILE无缝接入，利用139社区丰富的社交网络资源，优质权威的教学资源，实现互联网解决个性化教育供需关系，促成线下教育的APP软件。,http://zzkf.bigcloudsys.cn:8088/project/detail/2360,2015.07.31
多机一键部署工具,"开发集成环境机器较多，这些机器中由于分工不同，部署步骤也各不相同，从打包编译到部署完成，往往要半天的时间才能完成。为了提高研发效率，就需要开发出一款自动部署工具。
  工具用java编写，BS架构， 
1、在web界面上只需用鼠标点击一个按钮，就可完成多台机器部署。
2、该工具提供各机器部署参数配置功能；
3、该工具提供部署结果查询功能；
4、所有机器部署完成后，工具提供邮件提醒功能；",http://zzkf.bigcloudsys.cn:8088/project/detail/2116,2015.07.30
出行人流查询,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2333,2015.07.31
云应用-不需安装和升级就可使用的海量应用, 当前智能手机都需要安装很多应用程序，并且这些应用程序都需要不断升级，影响了用户体验。,http://zzkf.bigcloudsys.cn:8088/project/detail/2386,2015.08.03
等等企业顺风车专家, 企业“两岸三地”办公现象越来越普遍，许多员工每日辗转于多个城区或郊区的办公地点办公。然而，多地办公不可避免会产生以下“痛点”结伴外出开会、集体赶飞机或火车、文件、物品的稍送都成了麻烦事。员工们只能线下找同事、群发邮件或微信圈来自行解决，因而时有“,http://zzkf.bigcloudsys.cn:8088/project/detail/2566,2015.08.06
点点聚,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2332,2015.07.31
南腔北调,该应用的功能主要为在线教育与在线翻译，当用户群体达到一定规模时，可实现其他社区性的功能。用户注册时输入自己的生日，性别，母语，精通的其他方言或语种。用户A使用该应用时，对对方的年龄，性别，需要翻译的语种（一般2种）。系统根据选择向离A最近的10位用户发起邀请，最先应答的用户可与A实现互动。,http://zzkf.bigcloudsys.cn:8088/project/detail/2306,2015.07.31
通过USB自启动技术及虚拟化技术打造高安全性、可随身携带的云操作系统,这是一款通过,http://zzkf.bigcloudsys.cn:8088/project/detail/2556,2015.08.06
藏汉双语云站群管理系统,藏汉双语云站群管理系统(简称：站群系统)不是网站之间的简单链接，而是依据“统一规范，分级建设，统一监管”的建设思路实现互联互通、资源分享的有机结合体。系统采用内容管理模式，将内容与格式分离支持灵活扩展实现发布过程自动化；把数据库中的信息按规则预先自动生成为HTML页面加入到WEB服务器，或者利用动态网页生成技术在实时交互的过程中动态生成网页提交；信息管理和发布管理功能完善，可快速部署站点。,http://zzkf.bigcloudsys.cn:8088/project/detail/2193,2015.07.31
和打包,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2199,2015.07.31
智慧课堂,《,http://zzkf.bigcloudsys.cn:8088/project/detail/2251,2015.07.31
和调查, 社会企业针对用户进行调查，最难以做到的就是调查用户的有效性。例如：超市想调研下载附近小区居住的用户，对哪个品牌的大米最有钟爱。通过网上调查，容易太泛滥；而通过现场调研，时间和成本又太高。利用中国移动的大数据，能够有效的圈定调研的对象，邀请进行答题，有效、准确的反映真实情况，解决调研活动的痛点。,http://zzkf.bigcloudsys.cn:8088/project/detail/2533,2015.08.05
人人同智能书包,集定位、监听、通话、一键呼救、交通安全警示、矫姿为一体的智能书包,http://zzkf.bigcloudsys.cn:8088/project/detail/2461,2015.08.04
和商机,“和商机”产品，是基于智能管道和规模优势，汇聚位置轨迹、上网轨迹、访问内容等数据，依托大数据技术面向小商户、行业客户提供以,http://zzkf.bigcloudsys.cn:8088/project/detail/2462,2015.08.04
移动帮你找孩子,移动帮你找孩子的,http://zzkf.bigcloudsys.cn:8088/project/detail/2227,2015.07.31
咔嚓,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2510,2015.08.05
看脸APP-可以匿脸的交友软件,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2262,2015.07.31
全卡通APP,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2536,2015.08.05
和掌中宝,“和掌中宝”零流量手机文件分享工具是围绕“手机文件分享麻烦”及“手机传输文件需要耗费流量”的核心问题，基于“圈子营销”概念开发的手机应用，其核心是在向用户提供“手机文件传输”和“应用分享”两项免费便捷服务，不但方便用户手机文件的管理，而且能快速实现手机应用在用户群中的快速推广扩散。,http://zzkf.bigcloudsys.cn:8088/project/detail/2195,2015.07.31
移动互联网“移”号通,本手机支付不要求用户更换手机及,http://zzkf.bigcloudsys.cn:8088/project/detail/2465,2015.08.04
三农管家,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2223,2015.07.31
运动圈,1,http://zzkf.bigcloudsys.cn:8088/project/detail/2247,2015.07.31
随意找产品,中国移动2015年自主开发大赛-随意找产品方案(上参赛平台）.docx,http://zzkf.bigcloudsys.cn:8088/project/detail/2290,2015.07.31
一起玩转流量,随着互联网的深度发展，社交平台愈发重要，而互动性也成为了吸引用户的一项重要法宝。为了活跃我们的用户，提高用户粘性，同时也为了创新流量流转方式，培养用户的高流量使用习惯，我们基于原有的流量业务系统推出了本款有趣的“流量社交”,http://zzkf.bigcloudsys.cn:8088/project/detail/2345,2015.07.31
智慧WiFi,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2399,2015.08.03
基于用户号码的身份验证工具,验证工具包含一套用户身份验证机制以及加密、解密两部分算法，通过生成密文,http://zzkf.bigcloudsys.cn:8088/project/detail/2164,2015.07.31
“快来吧”实景导航产品,"本产品基于智能手机开发，利用手机GPS定位和实景照片，在无GPS信号的室内，提供拍照功能、照片编辑功能，用户可将路线标识在照片上，并分享给好友，为好友指定目标位置,实现快速找到人的目的。",http://zzkf.bigcloudsys.cn:8088/project/detail/2476,2015.08.04
Ad Click你爱看的广告,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2494,2015.08.04
看啥呢免流量预告片APP,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2240,2015.07.31
和流量, 从,http://zzkf.bigcloudsys.cn:8088/project/detail/2066,2015.07.29
舒旅,"""",http://zzkf.bigcloudsys.cn:8088/project/detail/2077,2015.07.29
手机在线排号平台,  目前某些窗口服务机构仍有厅内排号等待时间过长的问题。一方面，为了减少不必要的被动等待时间；另一方面，为了减少传统排号系统支出（设备采购支出及耗材支出），本团队设计了手机在线排号平台来解决此问题。手机在线排号平台旨在解决营业厅、机关单位等传统排号终端排号等待时间太长而造成的体验差的问题。包含,http://zzkf.bigcloudsys.cn:8088/project/detail/2378,2015.08.01
教育机器人-小智,  会思考的机器人，根据平时提问回答的训练，形成用户专属的问题库。根据用户不同的学习习惯，推荐不同的科目、问题与用户交流。帮助学生制定学习计划、作业监督、纠正坐姿等。打造家庭教育版大白。,http://zzkf.bigcloudsys.cn:8088/project/detail/2411,2015.08.03
微信公众号“IDC直通车”,     ,http://zzkf.bigcloudsys.cn:8088/project/detail/2426,2015.08.03
马上拼车, “,http://zzkf.bigcloudsys.cn:8088/project/detail/2451,2015.08.03
治愈系聊天萌友机器人“大萌”,“大萌”是能判读情感的个人化机器人，随时随地以动人的声音、表情和动作为用户提供贴心关怀、安慰陪伴、赞美鼓励、逗乐愉悦、娱乐资讯、教学等交流互动，满足现代人与人交流和分享、获得安慰和鼓励（正能量）、放松解压和找乐、发泄负面情绪等心理需求和社交体验需求，以及互动学习的需求。,http://zzkf.bigcloudsys.cn:8088/project/detail/2318,2015.07.31
圈子共享,圈子共享是基于移动互联网的营销推广平台，借助目前社交平台，向朋友、亲戚、同事、同学、家人等圈员分享实用的、好玩的移动业务，被推荐方成功办理业务后，双方获利。,http://zzkf.bigcloudsys.cn:8088/project/detail/2329,2015.07.31
你约我跑,"""",http://zzkf.bigcloudsys.cn:8088/project/detail/2555,2015.08.06
All Paste 跨平台剪贴板同步管理工具,移动设备的输入成本较高，复制粘贴的过程较为复杂，一旦出现较多内容的输入或者内容的多次粘贴，用户需要付出相当的成本。该产品第一个功能是实现，设备自身的剪贴板历史记录功能，用户在粘贴过程中可以随时呼出剪贴板历史记录，一键多次粘贴。,http://zzkf.bigcloudsys.cn:8088/project/detail/2557,2015.08.06
灵动位置,一、,http://zzkf.bigcloudsys.cn:8088/project/detail/2532,2015.08.05
